datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2013-10-24,dsm2,base,1003,8257.64,8214.83,1936.92,2858.98,1478.80,706.64,772.16,5856.78,0.00,,546.01,3.01,3.58,1.90,3.34,3809.64,3809.64,500.93,8418.39,622.23,654.07,8121.20,8121.20,912.05,2602.39,563.63,12991.99,12875.10,18148.02,537.87,542.60,8554.42,1234.88,11983.31,25122.04,13780.10,8272.95,499.84,429.14,594.93,17391.21,282.68,409.87,488.68,439.12,8465.12,214.07,154.11,1276.82,421.42,989.42,585.65,325.29,7132.17,424.90,84.20
2013-10-25,dsm2,base,1003,7640.41,7569.00,2025.83,2218.73,1610.82,805.86,804.96,5836.70,0.00,,465.04,3.04,3.61,2.52,3.20,3272.96,3272.96,503.79,8506.51,578.33,653.93,7330.65,7330.65,891.66,2207.48,564.88,13113.96,13007.20,17912.89,540.61,543.75,8357.52,1104.28,11193.66,23566.86,12994.72,8074.56,502.81,429.97,613.94,16605.05,278.36,448.37,491.74,416.29,8205.73,190.82,152.37,1073.55,500.41,871.12,558.50,327.71,6937.90,475.35,84.20
2013-10-26,dsm2,base,1003,7778.68,7705.93,2392.80,2524.20,1719.47,872.58,846.89,5927.81,0.00,,312.06,2.58,3.55,3.36,3.19,3365.17,3365.17,510.19,8509.80,544.31,663.22,7619.30,7619.30,921.63,2235.36,574.50,12991.10,13158.08,17581.36,550.30,553.56,8500.45,1126.59,11529.36,22979.93,13689.26,7592.92,508.80,431.49,587.97,16333.82,281.32,480.47,494.18,429.00,8288.27,218.81,154.04,1121.27,506.86,887.47,492.71,336.36,7260.36,492.04,84.20
2013-10-27,dsm2,base,1003,7845.71,7806.22,3172.86,2536.77,1558.63,791.72,766.91,6923.16,0.00,,294.00,2.23,3.35,4.38,3.26,3126.43,3126.43,513.86,8239.12,404.56,662.77,7311.02,7311.02,911.57,2138.93,579.07,13124.10,13126.83,17385.87,554.64,558.40,8485.71,1063.78,11146.84,22596.35,13557.28,7900.23,512.75,432.37,535.63,15973.37,280.13,517.86,496.66,418.60,8045.64,200.61,156.09,1052.20,505.40,851.21,348.82,343.21,7320.20,483.65,84.20
2013-10-28,dsm2,base,1003,7441.56,7405.73,3506.64,2818.62,1368.32,602.21,766.11,6761.26,0.00,,295.00,2.01,3.26,5.19,3.35,2695.17,2695.17,503.84,7995.53,300.57,654.35,6654.44,6654.44,887.61,1875.02,576.88,13195.30,13151.62,17107.91,554.17,557.64,8045.55,955.26,10353.05,21717.84,13045.12,7504.87,502.22,431.42,411.00,15294.53,275.22,543.63,499.65,388.15,7391.24,188.97,155.88,920.72,495.64,761.33,297.99,346.39,7315.28,458.53,84.20
2013-10-29,dsm2,base,1003,6125.15,5823.02,3704.03,2341.11,1366.26,597.82,768.44,6121.81,0.00,,248.01,1.81,3.46,5.65,3.44,2336.55,2336.55,490.11,7872.94,295.98,642.79,6049.31,6049.31,863.41,1646.28,569.96,13211.17,13173.59,16733.05,549.07,552.18,7535.73,862.37,9613.95,21299.00,12727.41,6881.13,488.70,435.64,340.61,14721.90,270.92,448.45,503.61,360.77,7134.95,189.86,160.82,819.47,426.77,692.59,293.00,354.52,7290.32,367.77,84.20
2013-10-30,dsm2,base,1003,8609.53,8396.54,3798.53,1895.43,1461.34,667.67,793.67,9051.29,0.00,,223.01,1.84,3.73,5.76,3.39,2413.95,2413.95,501.90,7672.25,253.15,638.39,6213.42,6213.42,857.11,1745.02,563.64,13190.60,13178.22,16667.64,549.02,552.17,7710.57,864.73,9783.05,22698.58,12786.92,6687.22,499.60,435.31,316.72,15059.87,270.71,335.76,507.12,361.73,7266.29,201.73,165.30,874.05,398.11,722.72,248.28,383.89,7434.30,355.93,84.20
2013-10-31,dsm2,base,1003,8701.90,8545.84,3766.68,2969.71,1264.22,603.98,660.24,8234.65,0.57,,242.00,1.78,4.00,5.45,3.29,2556.79,2556.79,506.37,7380.52,227.00,630.20,6341.29,6341.29,842.43,1761.48,556.86,13218.28,13205.15,16875.07,548.37,551.09,8192.29,878.63,9975.37,24392.33,12838.59,6842.60,504.96,434.23,277.27,15545.32,272.70,302.62,509.73,369.03,7637.96,197.35,165.32,870.96,340.85,727.73,227.55,387.92,7517.14,321.90,84.20
2013-11-01,dsm2,base,1003,9229.59,9129.99,3557.35,4953.25,2850.31,2252.17,598.14,4983.38,1.00,,282.99,2.00,3.87,4.78,3.26,2847.39,2847.39,523.09,7179.14,241.82,624.89,6915.98,6915.98,839.28,2027.52,545.10,13215.83,13254.18,17372.06,548.47,550.77,9066.35,933.17,10622.28,26123.17,13012.16,7146.27,521.92,440.11,254.07,16710.52,276.43,273.40,513.24,379.83,8203.97,216.90,158.36,966.49,355.52,771.43,247.23,368.78,7642.72,340.76,84.20
2013-11-02,dsm2,base,1003,10032.11,9968.51,3318.20,3505.00,2786.32,2191.26,595.06,7058.98,1.00,,346.98,2.24,3.53,3.87,3.23,2736.65,2736.65,526.92,7116.49,277.81,613.83,6696.83,6696.83,819.57,1930.58,538.10,13237.42,13294.42,17664.48,542.57,544.31,9133.85,906.38,10411.04,25461.02,12641.63,7199.14,526.50,450.43,265.01,16574.64,278.46,249.78,515.86,365.18,8313.77,204.54,164.35,931.87,303.61,748.25,287.41,352.89,7507.64,329.42,84.20
2013-11-03,dsm2,base,1003,10013.71,9876.00,3093.53,3946.39,2440.94,1894.55,546.39,6719.90,1.00,,422.98,2.34,3.36,3.04,3.19,2338.45,2338.45,520.97,7254.52,333.22,598.95,5945.73,5945.73,795.44,1644.35,534.88,13185.55,13376.87,17427.78,532.90,534.54,8791.99,806.20,9643.30,23350.55,12217.67,6544.88,520.86,457.19,293.79,15503.47,280.19,247.65,518.16,334.31,8077.55,189.26,173.90,806.80,307.83,654.26,349.29,352.87,7321.75,331.26,84.20
