datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2009-10-29,SCHISM,suisun,7,12335.26,11873.22,2348.66,6868.43,505.47,8320.96,0.00,0.00,0.84,3.13,88.60,64.10,569.57,682.74,607.81,608.23,681.91,520.24,839.21,17522.91,11436.11,9659.53,2360.29,351.33,6906.55,1862.42,293.67,259.42,574.99,700.58,334.00,13379.77,941.98,12218.65,10117.98,11872.80,1220.87,171.25,1425.23,6915.97,9659.01,389.93,520.24,608.23,12734.74,14608.06,14529.38,474.94,401.21,445.55,620.33
2009-10-30,SCHISM,suisun,7,11801.07,11299.96,2218.05,6130.50,549.62,8438.25,0.00,0.00,2.15,3.00,88.20,50.30,599.92,598.20,418.84,372.67,652.82,520.24,838.60,17764.58,11779.11,9042.02,2438.93,363.29,6778.58,2185.23,348.76,284.85,623.67,695.61,328.22,12199.39,1040.88,12358.07,10129.49,11894.64,1407.69,179.51,1621.32,6792.12,9041.68,358.80,520.24,372.67,13703.47,13763.08,15097.43,464.59,430.72,450.84,491.82
2009-10-31,SCHISM,suisun,7,11944.29,11389.68,2068.14,6783.51,498.57,7727.49,0.00,0.00,2.65,3.04,88.20,41.20,539.77,484.65,360.94,329.93,485.70,517.29,820.10,18872.16,12023.43,8833.55,2254.98,318.36,6672.18,2486.83,431.78,307.85,655.73,575.20,316.43,11854.00,1187.66,12718.08,10012.19,12057.09,1465.65,580.22,1548.46,6686.98,8833.55,381.63,517.29,329.93,14949.83,14681.72,15776.81,455.07,433.05,458.03,382.26
2009-11-01,SCHISM,suisun,7,11933.06,11392.70,1880.30,6934.54,893.80,7772.62,0.00,0.00,3.33,3.14,88.40,48.80,942.60,433.69,386.52,364.14,443.01,504.04,798.91,20071.88,12393.66,8825.20,2176.70,313.43,6609.37,2749.12,525.91,354.96,670.28,462.26,313.21,12105.10,1327.19,13164.82,9883.05,12447.11,1513.15,385.89,1464.26,6621.69,8825.02,406.10,504.04,364.14,16005.00,15848.08,16635.05,480.43,422.02,463.95,385.46
2009-11-02,SCHISM,suisun,7,11893.11,11416.19,1762.46,4428.10,892.14,10119.61,0.00,0.00,3.95,3.19,88.40,58.00,950.14,419.05,399.51,378.00,463.95,500.03,768.82,20969.16,12841.51,8877.05,2237.55,362.01,6535.26,2920.02,624.29,412.89,677.97,441.95,303.12,12457.06,1437.98,13783.28,9808.43,12945.34,1578.98,185.81,1460.08,6547.23,8875.31,418.84,500.03,378.00,16962.71,16934.11,17467.04,548.38,418.84,469.02,405.67
2009-11-03,SCHISM,suisun,7,11798.87,11348.31,1725.07,4362.77,866.07,10027.24,0.00,0.00,4.45,3.37,89.40,128.00,994.07,416.08,405.67,378.00,487.18,500.03,757.06,21439.73,13103.44,8879.49,2288.06,441.95,6359.79,2912.41,697.26,467.97,683.57,468.39,287.64,12852.26,1506.00,14469.93,9723.05,13515.96,1633.97,158.20,1519.10,6373.40,8878.45,418.84,500.03,378.00,17706.35,17648.76,18143.39,630.96,431.57,481.27,404.82
2009-11-04,SCHISM,suisun,7,11421.36,10961.36,1660.56,4391.26,779.53,9470.19,0.00,0.00,4.78,3.56,88.60,68.90,848.43,413.53,410.56,375.44,506.35,497.08,732.26,22935.84,14391.67,9897.01,2866.75,480.64,6769.32,3153.23,854.20,555.09,679.84,483.80,274.51,13331.05,1718.01,15388.56,9870.13,14466.44,1733.18,150.37,1742.63,6780.90,9895.11,418.84,497.08,375.44,19171.78,19243.22,19170.97,770.68,435.17,529.49,411.62
2009-11-05,SCHISM,suisun,7,11687.89,11202.48,1583.72,4357.29,724.18,9638.51,0.00,0.00,4.77,3.45,88.00,88.20,812.38,423.72,415.87,364.99,529.91,489.92,523.81,22228.85,13593.54,9120.50,2510.47,373.74,6287.41,2914.32,813.94,579.81,668.62,500.88,266.32,13860.87,1672.08,15640.91,9962.79,14720.69,1844.19,150.37,1740.66,6300.49,9118.42,416.93,489.92,364.99,19105.80,19363.62,19487.96,851.33,443.43,551.32,417.35
2009-11-06,SCHISM,suisun,7,11853.22,11384.15,1543.54,3622.33,643.72,10418.15,0.00,0.00,4.38,3.36,87.20,167.40,811.12,429.45,422.87,357.52,529.70,483.59,520.45,21410.54,13097.57,8426.46,2251.88,320.07,5898.69,2733.46,788.61,604.68,633.25,520.24,286.78,14062.40,1665.17,15938.73,10028.89,14920.36,1665.96,150.37,1534.98,5911.12,8425.58,416.93,483.59,357.52,18999.11,19196.94,19431.92,909.50,462.68,581.69,425.63
2009-11-07,SCHISM,suisun,7,12007.03,11343.48,1502.28,4448.48,467.76,9528.59,0.00,0.00,3.68,3.18,85.60,142.80,610.56,434.11,417.14,357.52,552.16,479.79,523.60,20267.13,12247.35,7828.69,1759.15,264.17,5312.95,2496.06,772.54,601.96,611.57,526.97,309.56,14325.68,1624.88,16067.47,9794.46,14933.27,1511.96,139.70,1316.58,5322.94,7828.16,418.84,479.79,357.52,18668.62,19105.64,19025.91,951.77,486.75,622.00,424.78
2009-11-08,SCHISM,suisun,7,12221.99,11552.88,1435.82,4432.24,317.03,9542.60,0.00,0.00,3.03,3.10,84.40,120.10,437.13,446.82,430.29,357.52,580.64,479.79,540.41,18799.55,10932.48,6604.02,1300.96,222.46,4609.41,2230.97,680.25,589.64,571.85,551.11,315.79,14454.48,1533.99,16035.91,9867.03,14858.25,1313.98,150.59,1107.33,4617.68,6603.48,430.29,479.79,357.52,18016.94,18467.92,18332.31,965.23,506.56,643.87,438.14
2009-11-09,SCHISM,suisun,7,12144.14,11603.33,1406.36,4429.07,172.11,9293.53,0.00,0.00,2.54,3.08,83.60,76.70,248.81,446.82,433.69,357.52,596.74,479.79,576.46,17993.40,10103.71,6068.23,1008.79,200.78,4187.17,2054.44,655.94,585.25,547.75,578.76,286.78,14670.44,1500.44,16094.09,9989.13,14954.13,1217.25,129.47,935.24,4194.76,6067.69,439.20,479.79,357.52,17589.51,18019.54,17695.29,985.59,531.38,668.00,441.53
2009-11-10,SCHISM,suisun,7,12391.56,11758.34,1372.39,4482.77,15.10,9296.28,0.00,0.00,2.36,3.07,83.40,78.30,93.40,459.30,438.35,357.52,616.37,479.16,585.45,17317.33,9349.68,5598.93,818.87,187.76,3839.43,1915.29,638.04,584.41,533.69,597.16,262.66,14920.03,1468.83,16089.16,10127.60,15078.41,1164.48,129.47,792.53,3845.77,5598.39,452.32,479.16,357.52,17206.67,17601.07,17032.96,1004.31,557.40,694.57,452.53
2009-11-11,SCHISM,suisun,7,12359.11,11613.85,1348.58,4460.78,-94.68,9152.23,0.00,0.00,2.46,3.18,83.60,199.90,105.22,462.68,432.84,357.52,630.75,473.46,604.26,17396.81,9439.00,5687.18,779.55,183.20,3745.04,1881.62,658.02,594.03,530.12,611.15,240.42,15269.83,1485.54,16228.76,10334.90,15320.38,1101.46,129.47,767.17,3751.20,5686.64,466.28,473.46,357.52,17129.63,17329.00,16729.18,1041.90,588.38,744.87,451.69
2009-11-12,SCHISM,suisun,7,11909.15,11433.87,1333.04,4445.37,-232.57,8564.26,0.00,0.00,2.80,3.14,83.80,236.90,4.33,466.28,440.47,357.52,639.29,468.39,620.75,17768.65,9742.03,5895.26,792.94,180.16,3720.01,1852.82,729.78,602.38,530.96,620.75,224.84,15580.58,1499.64,16369.39,10329.23,15505.39,1061.16,148.41,750.24,3726.74,5894.36,490.13,468.39,357.52,17196.55,17210.58,16699.39,1081.22,627.21,809.62,465.22
2009-11-13,SCHISM,suisun,7,11790.45,11398.88,1310.62,4644.78,-251.18,8205.10,0.00,0.00,3.31,3.04,83.60,171.20,-79.98,477.47,464.16,367.55,640.75,466.49,635.54,17996.09,9851.69,5939.94,799.74,179.07,3660.94,1788.05,734.33,610.52,536.21,622.62,214.44,15736.30,1507.79,16467.78,10354.80,15633.16,1016.71,150.37,720.26,3668.61,5939.22,517.29,466.49,367.55,17227.71,17222.66,16727.38,1111.78,669.25,854.81,476.42
2009-11-14,SCHISM,suisun,7,11891.01,11520.84,1291.18,4615.55,-260.04,8306.59,0.00,0.00,3.95,2.88,83.40,120.10,-139.94,491.60,482.11,378.00,640.75,461.20,640.75,17898.89,9480.34,5639.81,767.58,178.86,3480.68,1689.24,711.98,612.40,540.41,638.46,203.39,15794.59,1474.40,16518.26,9882.19,15698.91,978.26,150.37,676.72,3488.75,5638.73,545.24,461.20,378.00,17177.78,17196.06,16712.65,1107.94,711.56,882.28,489.29
2009-11-15,SCHISM,suisun,7,11759.09,11418.06,1294.00,4535.19,-238.04,8279.87,0.00,0.00,4.34,2.80,83.60,116.60,-121.44,507.19,504.46,394.61,639.71,459.51,640.75,17737.72,9232.38,5288.59,789.64,181.25,3334.58,1618.55,684.20,615.95,540.41,640.75,199.70,15775.65,1439.18,16533.00,10307.10,15775.32,929.52,150.37,663.01,3341.55,5287.50,571.85,459.51,394.61,17024.63,17083.10,16483.02,1101.46,746.11,903.16,509.09
2009-11-16,SCHISM,suisun,7,11397.17,11032.73,1310.48,4368.99,-205.84,8132.82,0.00,0.00,4.52,2.91,84.60,135.90,-69.94,521.29,529.70,407.37,649.49,459.51,640.75,17935.76,9279.35,5151.19,846.40,184.72,3288.60,1579.77,680.46,623.46,542.72,640.75,194.49,15802.98,1414.27,16510.06,10204.07,15863.55,883.10,150.37,656.57,3296.71,5150.64,599.25,459.51,407.37,16880.16,16912.04,16364.47,1106.32,772.33,924.21,526.34
2009-11-17,SCHISM,suisun,7,11122.72,10744.83,1301.46,4077.88,-202.11,8144.19,0.00,0.00,4.48,3.08,84.20,157.50,-44.61,540.20,555.72,426.05,660.72,459.51,640.75,19548.53,10395.45,5927.69,1136.63,198.18,3647.66,1638.12,742.19,650.95,547.75,640.75,194.27,15911.10,1422.84,16487.61,11445.62,16047.74,850.92,150.37,715.50,3655.52,5925.71,623.67,459.51,426.05,17172.72,17084.73,16645.70,1135.22,794.18,960.33,549.22
2009-11-18,SCHISM,suisun,7,11501.71,11081.93,1306.44,4060.27,-212.57,8535.32,0.00,0.00,4.24,2.89,83.40,117.60,-94.97,556.56,564.73,436.87,673.40,459.51,659.27,18899.40,9945.58,5690.98,1004.11,195.14,3408.72,1524.07,729.16,647.41,560.54,640.96,187.11,16008.46,1394.33,16505.80,11467.04,16005.00,917.67,150.37,749.62,3417.74,5690.98,650.95,459.51,436.87,17042.43,17144.65,16504.33,1123.30,820.93,973.58,557.40
2009-11-19,SCHISM,suisun,7,11960.39,11540.11,1310.79,3413.87,-210.85,9646.46,0.00,0.00,3.76,2.97,84.40,185.10,-25.75,579.18,588.59,447.03,700.58,459.51,660.72,17797.19,9251.10,4958.33,904.18,188.20,3171.00,1462.27,641.58,639.29,566.62,663.22,190.80,15915.54,1347.79,16444.01,11745.21,15985.77,836.54,150.37,687.31,3179.51,4957.60,670.91,459.51,447.03,16742.76,16838.14,16274.72,1089.12,830.18,964.21,578.76
2009-11-20,SCHISM,suisun,7,12004.24,11552.37,1304.76,3164.91,-314.89,9829.20,0.00,0.00,3.41,3.27,83.20,138.40,-176.49,590.26,609.06,465.64,700.58,459.51,679.84,19356.99,10629.46,5605.81,1289.93,202.74,3673.66,1563.13,697.89,650.12,575.41,693.53,190.37,15978.04,1335.19,16307.22,13827.33,16094.91,771.71,150.37,709.08,3682.82,5603.81,677.97,459.51,465.64,17051.74,17011.23,16371.03,1121.68,831.41,987.22,600.08
2009-11-21,SCHISM,suisun,7,12822.19,12301.96,1300.64,3151.78,-404.75,10566.31,0.00,0.00,2.57,3.06,82.20,84.60,-320.15,598.41,605.10,473.04,700.58,462.47,698.30,17106.01,8911.84,4874.76,774.60,182.11,3030.91,1330.99,647.20,636.38,583.15,697.26,189.50,16047.74,1316.78,16307.55,12668.61,15948.60,869.78,150.37,677.55,3037.35,4873.48,685.23,462.47,473.04,16437.78,16642.58,16092.28,1073.12,843.53,956.05,583.15
2009-11-22,SCHISM,suisun,7,13692.75,13187.64,1303.24,3144.40,-443.21,11408.38,0.00,0.00,2.07,3.03,81.00,75.20,-368.01,614.49,633.88,479.79,700.58,473.25,700.58,16115.00,8173.90,3967.31,611.98,176.03,2737.28,1274.90,561.17,615.95,593.82,700.58,191.24,15942.19,1287.53,16190.67,12560.02,15921.63,701.20,150.37,552.79,2741.67,3966.20,697.26,473.25,479.79,15999.25,16285.39,15566.24,1029.31,845.58,959.93,631.79
2009-11-23,SCHISM,suisun,7,13703.77,13182.67,1306.15,3180.66,-546.16,11283.10,0.00,0.01,1.59,3.04,80.00,59.10,-487.06,628.46,641.58,490.97,690.63,479.79,700.58,14843.71,7223.72,3428.46,440.68,171.25,2386.14,1184.23,510.35,601.55,605.10,682.33,192.10,15939.06,1263.26,16059.74,12815.96,15893.66,672.57,159.07,491.60,2389.41,3428.08,710.94,479.79,490.97,15441.05,15860.92,14856.59,981.12,857.89,942.39,639.50
2009-11-24,SCHISM,suisun,7,13491.41,12967.56,1303.13,4095.81,-632.05,10066.68,0.00,1.00,1.24,3.11,79.80,54.70,-577.35,631.79,651.37,504.25,700.58,479.79,700.58,14069.23,6564.38,3094.95,353.04,171.25,2162.73,1119.06,485.49,580.43,615.11,680.67,192.10,15999.91,1246.99,15902.05,13229.02,15874.90,655.11,165.81,418.41,2166.22,3093.63,720.47,479.79,504.25,14981.61,15434.61,14198.43,956.05,867.94,941.57,643.04
2009-11-25,SCHISM,suisun,7,13006.74,12508.86,1282.63,5526.94,-658.34,8104.09,0.00,1.00,1.23,3.20,79.40,68.70,-589.64,630.13,656.98,520.03,700.58,479.79,700.58,14500.65,6410.27,3041.53,303.34,171.25,2086.36,1082.84,485.28,566.83,623.87,691.25,192.10,16022.10,1235.94,15724.77,13732.02,15829.15,633.25,171.25,348.12,2088.12,3040.96,734.74,479.79,520.03,14712.23,14990.88,13782.27,947.69,865.27,951.97,637.42
2009-11-26,SCHISM,suisun,7,12653.81,12148.84,1276.10,5529.03,-699.62,7701.24,0.00,1.00,1.44,3.29,81.00,123.90,-575.72,632.21,654.07,521.50,700.58,486.97,700.58,15378.66,6666.29,3195.38,264.17,171.25,2074.50,1065.83,502.98,549.64,629.71,700.58,190.80,15946.79,1224.89,15597.89,14056.74,15709.94,597.58,161.90,331.86,2077.03,3194.81,749.00,486.97,521.50,14764.12,14708.42,13933.58,950.55,867.94,959.52,626.17
2009-11-27,SCHISM,suisun,7,12197.65,11689.17,1263.96,5068.46,-804.50,7588.65,0.00,1.00,1.84,3.24,81.20,587.30,-217.20,632.84,659.48,538.73,715.50,494.56,700.58,17122.61,7790.51,3855.27,282.70,171.25,2238.14,1073.12,603.63,542.51,630.75,700.58,192.10,15775.82,1214.23,15481.14,13409.56,15499.12,572.69,150.37,330.79,2241.43,3854.15,762.63,494.56,538.73,15288.50,14958.60,14602.91,958.30,871.01,975.21,626.38
2009-11-28,SCHISM,suisun,7,12850.53,12302.52,1258.67,5069.57,-841.12,8198.52,0.00,1.00,2.49,3.03,81.20,176.20,-664.92,633.25,683.37,542.72,720.47,498.56,713.84,15660.55,7014.77,4859.02,309.78,174.51,1943.25,1026.67,696.85,522.97,633.46,703.07,192.10,15586.85,1193.50,15249.02,11632.59,15353.90,486.75,150.37,341.49,1943.64,4857.74,815.38,498.56,542.72,15861.90,15622.12,15785.53,643.04,896.00,895.18,634.50
2009-11-29,SCHISM,suisun,7,13029.36,12529.68,1256.98,5624.84,-833.05,7828.45,0.00,1.00,3.36,3.08,82.20,64.60,-768.45,674.44,703.90,561.17,720.47,504.25,720.47,15739.12,7181.90,4131.78,328.43,178.42,1874.57,966.86,600.71,521.71,648.04,717.57,193.62,15431.81,1175.97,15050.29,12710.85,15327.31,570.18,150.37,394.40,1880.05,4130.48,838.60,504.25,561.17,16088.50,15877.04,15561.29,611.15,882.49,830.18,644.91
2009-11-30,SCHISM,suisun,7,12342.42,11797.19,1253.41,5303.75,-796.57,7495.51,0.00,0.99,4.31,3.22,83.20,51.80,-744.77,684.40,733.09,603.63,720.47,510.98,720.47,17502.90,8085.88,4137.53,467.12,175.81,2138.07,971.14,570.18,534.32,649.28,720.47,200.57,15346.96,1155.20,15138.77,10603.78,15279.91,533.48,150.37,391.42,2144.48,4135.67,823.39,510.98,603.63,16098.19,16083.73,15476.69,633.46,840.86,805.71,681.50
2009-12-01,SCHISM,suisun,7,11986.48,11469.07,1245.30,6083.08,-749.85,6398.85,0.00,0.00,5.30,3.39,84.20,91.20,-658.65,700.79,731.43,590.26,720.47,524.23,720.47,19268.49,9437.78,4986.28,754.79,179.29,2663.87,1014.48,579.81,554.46,650.32,719.85,203.82,15279.08,1115.01,15293.45,10006.52,15268.02,523.18,150.37,451.05,2672.86,4983.72,790.47,524.23,590.26,16652.41,16524.32,16133.68,676.93,795.62,789.85,693.32
2009-12-02,SCHISM,suisun,7,11753.55,11233.27,1221.98,5708.19,-659.72,6607.62,0.00,0.00,5.87,3.44,84.20,54.30,-605.42,683.57,712.19,583.15,732.88,536.84,720.47,19902.10,10242.20,5782.18,965.02,186.24,3063.89,1065.02,584.62,564.31,651.37,720.47,198.62,15216.13,1084.06,15514.13,9774.28,15324.83,587.13,150.37,545.65,3074.31,5780.74,760.98,536.84,583.15,17220.86,17154.77,16879.18,717.98,754.79,783.88,681.91
2009-12-03,SCHISM,suisun,7,11734.91,11198.11,1247.99,4168.26,-561.60,8253.05,0.00,0.00,6.11,3.33,83.40,62.60,-499.00,694.57,699.55,594.23,740.32,548.59,721.50,19785.54,10213.01,5833.79,1016.71,187.76,3032.61,1051.03,562.43,563.06,654.90,720.47,197.31,15175.14,1070.49,15699.07,9793.77,15385.43,635.34,150.37,593.40,3042.66,5830.90,743.01,548.59,594.23,17368.29,17435.44,17098.78,734.74,742.81,767.58,689.18
2009-12-04,SCHISM,suisun,7,11841.95,11325.09,1268.44,4148.11,-469.20,8493.08,0.00,0.00,5.71,3.23,83.60,127.00,-342.20,697.89,699.55,600.71,750.86,560.75,739.08,18366.48,9249.72,5034.67,907.66,180.59,2718.55,992.11,515.19,546.07,660.10,735.57,196.01,15143.73,1062.18,15714.72,9520.28,15373.21,644.29,150.37,592.35,2728.11,5032.48,730.40,560.75,600.71,16986.56,17037.53,16744.56,733.50,737.64,757.68,682.95
2009-12-05,SCHISM,suisun,7,11848.15,11347.91,1259.82,4141.26,-423.08,8543.64,0.00,0.00,4.86,3.39,83.60,170.40,-252.68,689.38,699.96,601.55,760.16,569.76,740.32,18209.58,9401.96,5155.56,881.26,182.55,2768.20,990.68,523.18,530.12,666.75,740.32,197.53,15163.41,1039.26,15826.69,9581.12,15471.41,596.32,150.37,553.83,2777.17,5155.20,723.57,569.76,601.55,16890.13,16939.17,16556.76,728.54,729.99,758.09,680.88
2009-12-06,SCHISM,suisun,7,11586.85,11118.88,1256.52,4138.94,-427.17,8277.25,0.00,0.00,4.02,3.55,83.00,142.10,-285.07,690.84,694.15,598.83,760.16,578.55,757.47,17765.07,9402.48,5128.05,899.88,183.64,2783.66,986.82,506.14,528.44,669.25,753.75,196.23,15247.03,1024.03,15868.82,10435.40,15548.10,586.29,150.37,534.11,2792.24,5127.32,709.49,578.55,598.83,16720.34,16886.37,16410.23,729.99,721.09,751.28,680.88
2009-12-07,SCHISM,suisun,7,11934.05,11443.99,1265.39,4153.78,-749.94,8295.72,0.00,0.00,3.20,3.62,81.40,142.40,-607.54,685.86,687.93,590.26,747.56,580.22,760.16,16850.73,8792.99,4842.55,732.67,177.12,2598.37,934.83,493.71,510.56,675.68,753.55,192.54,15252.82,1022.00,15818.78,10303.66,15499.78,587.13,150.37,493.50,2606.99,4841.63,703.48,580.22,590.26,16354.30,16519.40,16111.17,718.19,717.98,744.05,686.69
2009-12-08,SCHISM,suisun,7,12724.86,12232.14,1313.95,4017.65,-769.69,9251.48,0.00,0.00,2.48,3.25,78.80,144.60,-625.09,699.13,691.04,581.27,723.36,584.41,760.16,14668.78,7351.35,3966.39,496.24,171.25,2118.06,846.81,440.47,501.72,680.67,739.70,192.10,15292.46,1033.17,15693.64,10495.89,15387.24,596.74,150.37,461.42,2125.05,3965.27,704.31,584.41,581.27,15875.40,16172.11,15300.06,701.83,717.36,730.61,696.64
2009-12-09,SCHISM,suisun,7,12758.16,12324.86,1275.03,4044.81,-788.32,9200.07,0.00,0.00,2.23,3.14,78.60,136.50,-651.82,702.65,692.08,585.66,737.02,585.66,754.79,13293.36,6188.94,3260.32,356.67,171.25,1758.17,801.79,390.36,487.39,689.59,721.92,192.10,15325.33,1030.12,15546.78,9356.09,15304.69,569.34,150.37,414.59,1761.51,3259.94,702.65,585.66,585.66,15253.97,15662.33,14327.01,680.04,718.19,722.74,698.51
2009-12-10,SCHISM,suisun,7,12385.92,11934.83,1254.36,4100.81,-901.89,8637.58,0.00,0.00,2.37,3.37,80.80,52.50,-849.39,679.01,673.19,579.60,735.36,593.40,745.70,13721.17,6044.68,3204.07,307.85,171.25,1695.35,781.81,399.51,461.84,693.74,725.85,195.36,15336.39,1018.75,15382.62,8416.84,15279.91,520.45,150.37,361.79,1699.89,3202.93,695.61,593.40,579.60,14914.89,15089.66,13930.58,662.18,712.19,713.84,670.08
2009-12-11,SCHISM,suisun,7,12348.64,11678.29,1270.45,4381.82,-1304.35,7932.93,0.00,0.00,2.89,3.62,82.80,5.90,-1298.45,666.13,668.21,565.36,740.32,601.55,752.93,15866.84,7135.81,3725.80,339.78,171.25,1873.20,798.09,433.69,448.94,695.81,721.50,197.31,15306.34,996.99,15177.62,9107.66,15163.24,473.88,159.07,334.00,1879.47,3725.43,691.25,601.55,565.36,15145.39,14793.63,14337.32,653.45,697.68,713.84,670.91
2009-12-12,SCHISM,suisun,7,13073.34,12132.93,1317.92,4419.44,-1697.78,8274.05,0.00,0.00,3.34,3.98,83.00,6.20,-1691.58,663.01,659.68,567.25,745.90,619.08,747.35,18760.96,9265.14,4787.97,590.47,171.68,2395.78,873.88,462.68,453.80,695.61,721.92,197.31,15206.71,960.33,15024.97,11009.60,14975.16,458.67,150.37,366.70,2403.29,4785.58,683.99,619.08,567.25,16106.24,15740.91,15723.12,665.71,692.08,702.45,658.44
2009-12-13,SCHISM,suisun,7,15144.82,13862.69,1386.14,4928.17,-2421.72,9181.06,0.00,0.00,4.21,3.80,82.00,12.70,-2409.02,655.94,656.36,567.25,764.28,632.00,744.05,18846.95,9701.48,5175.41,634.50,175.16,2609.87,883.92,444.49,465.01,697.06,728.74,197.53,15051.28,945.85,15067.49,11863.99,14847.65,490.97,150.37,404.40,2620.59,5172.86,669.04,632.00,567.25,16544.80,16414.33,16406.13,664.05,678.80,695.61,654.90
2009-12-14,SCHISM,suisun,7,16785.96,15576.74,1394.77,5929.71,-2472.47,9778.55,0.00,0.00,4.55,3.47,81.40,17.20,-2455.27,654.07,661.76,574.37,779.96,639.92,765.11,16863.41,8147.96,3973.45,467.33,174.73,2174.37,798.29,389.93,454.01,702.03,751.07,210.11,14997.83,948.71,15059.39,11582.69,14793.63,499.19,155.81,399.72,2181.93,3971.78,669.04,639.92,574.37,16009.77,16051.19,15852.52,642.83,674.23,681.71,657.61
2009-12-15,SCHISM,suisun,7,17128.30,16124.43,1395.16,6457.45,-2343.26,9722.75,0.00,0.00,4.64,3.49,81.00,8.00,-2335.26,671.74,663.22,568.29,779.96,651.99,794.18,16074.58,7580.12,3485.37,413.53,176.68,2063.01,790.47,380.13,443.01,705.76,775.01,212.93,14978.96,929.32,15042.51,11499.66,14804.40,455.07,171.68,363.50,2069.24,3484.62,656.77,651.99,568.29,15692.48,15765.94,15310.96,633.04,656.77,674.23,656.98
2009-12-16,SCHISM,suisun,7,17003.36,16097.21,1422.65,7365.04,-1978.05,9082.93,0.00,0.00,4.64,3.44,80.00,17.90,-1960.15,672.78,661.76,564.73,779.96,665.09,797.88,15782.60,7232.93,3208.98,384.82,187.76,1993.04,785.11,381.20,430.51,711.56,779.96,212.93,14951.98,908.48,14947.01,11384.09,14800.26,431.78,159.29,343.42,2000.07,3207.47,650.53,665.09,564.73,15289.49,15419.43,14811.69,629.29,641.58,666.75,657.40
2009-12-17,SCHISM,suisun,7,16642.82,15773.55,1457.66,7904.80,-1202.54,8993.14,0.00,0.00,4.27,3.34,78.40,26.40,-1176.14,664.88,652.20,556.77,792.53,678.18,791.29,14789.49,6592.23,2802.16,348.55,192.10,1844.39,762.43,375.66,422.23,714.67,779.96,212.93,14798.77,890.06,14774.24,11246.96,14752.52,419.69,171.25,335.28,1848.11,2802.16,635.75,678.18,556.77,14735.28,14920.36,14179.95,621.79,627.21,657.40,646.16
2009-12-18,SCHISM,suisun,7,16751.30,15917.31,1459.41,7546.70,-199.89,10464.11,0.00,0.00,3.70,3.34,77.60,35.40,-164.49,658.64,643.87,544.40,798.50,690.01,795.82,13921.59,5995.74,2424.68,307.20,192.10,1699.89,738.67,369.90,415.23,717.15,779.96,212.71,14710.74,875.52,14581.50,11126.38,14699.46,406.52,171.25,319.00,1703.43,2424.10,616.99,690.01,544.40,14141.50,14385.86,13524.83,615.32,612.61,648.45,637.84
2009-12-19,SCHISM,suisun,7,17650.43,16833.61,1444.78,7539.24,102.70,11658.67,0.00,0.00,3.22,3.44,78.00,24.50,127.20,651.16,632.42,536.21,799.74,705.97,803.85,13378.50,5676.52,2143.90,274.94,192.10,1602.73,726.68,366.06,403.97,719.43,789.03,211.63,14705.93,862.40,14263.32,11148.53,14632.12,379.28,169.73,297.54,1604.90,2142.92,607.18,705.97,536.21,13564.12,13841.85,12852.43,609.06,599.46,641.17,627.63
2009-12-20,SCHISM,suisun,7,17766.32,16926.02,1406.26,7493.67,265.35,11944.27,0.00,0.01,2.73,3.56,78.60,28.30,293.65,639.29,624.71,522.13,799.74,730.40,803.44,14077.89,5921.75,2229.03,277.10,189.28,1617.56,749.83,370.75,401.84,720.47,797.06,209.24,14679.89,830.79,13843.02,11477.74,14454.65,351.97,161.46,281.40,1619.74,2229.42,596.12,730.40,522.13,13292.02,13367.88,12603.63,605.31,586.50,635.34,628.88
2009-12-21,SCHISM,suisun,7,16615.51,15774.23,1376.17,6965.23,377.11,11403.57,0.00,1.00,2.02,3.66,77.40,268.50,645.61,632.42,611.57,514.77,799.74,739.08,801.59,14825.28,6282.39,2458.75,270.85,175.60,1698.90,765.73,390.57,402.27,720.47,799.74,199.05,14571.05,806.94,13696.79,11902.09,14195.60,345.77,169.07,268.05,1700.28,2458.17,580.85,739.08,514.77,13256.34,13228.35,12779.64,601.96,577.92,636.79,620.33
2009-12-22,SCHISM,suisun,7,16161.54,15316.42,1349.30,6444.29,238.35,11304.90,0.00,1.00,1.50,3.33,74.20,98.60,336.95,642.00,585.25,500.03,801.38,719.85,800.35,12206.99,5321.31,2411.77,232.85,171.25,1552.43,665.50,414.38,384.61,720.47,799.74,192.10,14353.61,806.94,14089.72,5572.50,14193.10,373.10,169.94,260.93,1552.63,2410.23,582.74,719.85,500.03,13163.99,13228.02,12773.92,587.13,580.64,637.84,594.86
2009-12-23,SCHISM,suisun,7,16085.72,15146.10,1332.42,5876.52,270.03,11811.65,0.00,1.00,1.25,3.19,73.80,82.10,352.13,653.45,609.48,500.03,819.49,723.99,799.74,10539.40,4123.44,1678.79,195.36,185.81,1300.76,611.57,332.07,383.54,720.47,799.74,199.48,14250.67,828.53,13981.26,6054.57,14234.20,382.05,158.64,254.03,1300.76,1677.60,579.60,723.99,500.03,12714.38,13046.23,11744.70,555.72,580.64,616.16,634.50
